Name,Category,Season(s) Available,Prerequisites,Location,Schedule,Faculty Advisor
"A Cappella Group
(The Nellies)",Cocurricular,Year-Round,Open Audition,"Heffernon &
Raymond Hall

","Tue: 10:10-
10:40 AM;
Sun: 2-4 PM
",Alexandra Ludwig
"
A Cappella Group
(Mount Harmony)

",Cocurricular,Year-Round,Open Audition,Heffernon & Raymond Hall,"Tue: 10:10-
10:40 AM;
Sun: 3-5 PM
",Alexandra Ludwig
Concert Band,Cocurricular,Year-Round,None,"RAC312
Raymond
Concert Hall Stage

","Thurs: 8-8:40 AM;
Sun: 1-2 PM",Steve Bathory-Peeler
Concert Choir,Cocurricular,Year-Round,None,Heffernon Hall,"Mon: 6:30-8 PM
Thurs: 6:30-8 PM",Alexandra Ludwig
Create I,Cocurricular,Year-Round,None,Gilder 106,Fri: 6:30-8 PM,Jamie Rourke
Create II,Cocurricular,Year-Round,Create I,Gilder 106,Mon: 4:05-5:45 PM,Jamie Rourke
Debate Team,Cocurricular,Year-Round,None,Gilder 105,Tue: 6:30-8 PM,"Peter Weis;
M.K. Brake
"
Digital Drawing,Cocurricular,Year-Round,None,"RAC113
Digital Studios",Mon: 4:05-5:45 PM,Jamie Rourke
Gemini,Cocurricular,Year-Round,None,"RAC113
Design/Computer
Lab

",Tue: 6:30-8 PM,"Juliana Cruz Martinez;
Siga Thiombane
"
Jazz Ensemble,Cocurricular,Year-Round,None,"RAC310 Band
Room","Mon: 6:30-8 PM
Thurs: 6:30-8 PM",Ron Smith
Lamplighter,Cocurricular,Year-Round,None,"Blake Publications
Room (Blake Tower)",Tue: 6:30-8 PM,"Ben James;
Juliana Camacho"
Mandala,Cocurricular,Year-Round,None,"RAC113
Design/Computer
Lab

",Tue: 6:30-8 PM,Coke Whiteworth
Math Club,Cocurricular,Year-Round,None,Gilder 203,Tue: 6:30-8 PM,Grisha Hatavets
"Model United
Nations",Cocurricular,Year-Round,None,"Beveridge
Rhodes Room",Sun: 5-6:30 PM,Tiffany Thiri
